Câu hỏi ,Trả lời,Pattern
"Thí sinh tốt nghiệp trước 2023, việc xét tuyển vào ĐH, CĐ như thế nào?","Thí sinh đã tốt nghiệp THPT từ các năm trước phải dự thi kỳ thi THPT Quốc gia để được xét tuyển sinh ĐH, CĐ. Khi đăng ký dự thi,  phải thi đủ số môn theo yêu cầu tuyển vào ngành đào tạo do trường ĐH, CĐ quy định. Thí sinh tự do có thể dự thi dự thi vào bất kỳ cụm thi nào thuận tiện nơi mình sinh hoạt",
Thí sinh phải dự thi bao nhiêu môn trong kỳ thi THPT quốc gia?,"Để được xét công nhận tốt nghiệp THPT và xét tuyển sinh vào các trường ĐH, CĐ, thí sinh phải thi bốn môn (gọi là bốn môn thi tối thiểu) gồm ba môn bắt buộc là toán, ngữ văn, ngoại ngữ (Tiếng Anh, Tiếng Nga, Tiếng Pháp, Tiếng Trung, Tiếng Đức, Tiếng Nhật) và tổ hợp tự nhiên hoặc xã hội.",
Xin cho biết về việc miễn thi môn ngoại ngữ?,"Thí sinh có chứng chỉ quốc tế có uy tín theo quy định tại Công văn số 6031/BGDĐT-KTKĐCLGD ngày 23/10/2014 (chứng chỉ tương đương với trình độ từ bậc 3, khung 6 bậc dùng cho Việt Nam) sẽ được miễn thi tốt nghiệp THPT môn ngoại ngữ. Các thí sinh được miễn thi môn ngoại ngữ sẽ được nhận điểm tối đa môn ngoại ngữ khi xét công nhận tốt nghiệp THPT, điểm quy đổi này được sử dụng để xét công nhận tốt nghiệp THPT.",
Hồ sơ xét tuyển năm nay như thế nào?,"hồ sơ đăng ký xét tuyển của thí sinh bao gồm: Phiếu đăng ký xét tuyển có ghi rõ đợt xét tuyển, cho phép đăng ký tối đa bốn ngành (hoặc nhóm ngành) của một trường cho mỗi đợt xét tuyển (các nguyện vọng này được xếp theo thứ tự ưu tiên từ 1-4); giấy chứng nhận kết quả thi có đóng dấu đỏ của trường chủ trì cụm thi và mã vạch nhận dạng; một phong bì đã dán sẵn tem và ghi rõ địa chỉ liên lạc của thí sinh để trường thông báo kết quả xét tuyển.Thí sinh nộp hồ sơ đăng ký xét tuyển và lệ phí đăng ký xét tuyển cho trường có nguyện vọng vào học qua đường bưu điện theo hình thức chuyển phát nhanh hoặc nộp hồ sơ trực tiếp tại trường.",
Trường ĐHSPKT Tp. HCM xét sơ tuyển là thế nào,"tất cả thí sinh xét tuyển vào trình độ đại học của Trường ĐHSPKT Tp. HCM đều phải qua vòng xét sơ tuyển. Tiêu chí là: Điểm trung bình học bạ 5 học kỳ (HKI, II lớp 10, 11 và HKI  lớp 12) của 02 môn Toán & Ngữ văn đạt từ 11, 0 điểm trở lên. Nhà trường tổ chức sơ tuyển từ 20/3/2015 cho đến ngày nhận hồ sơ xét tuyển. Thí sinh thực hiện việc sơ tuyển bằng online tại website của trường  (thí sinh tự khai và tự chịu trách về các thông tin khai của bản thân. Nhà trường hậu kiểm khi thí sinh nhập học).",
Nếu không sơ tuyển có được nộp hồ sơ xét tuyển không?,"Thí sinh không thực hiện việc sơ tuyển trên trang website của trường vẫn nộp hồ sơ xét tuyển bình thường. Hồ sơ chỉ có giá trị xét tuyển khi thí sinh đã lọt qua vòng sơ tuyển (tức là có điểm trung bình học bạ 5 học kỳ (HKI, II lớp 10, 11 và HKI  lớp 12) của 02 môn Toán & Ngữ văn đạt từ 11, 0 điểm trở lên)",
Trường có điểm điểm sàn xét tuyển không?,"Căn cứ kết quả thi, Bộ GD-ĐT công bố ngưỡng điểm xét tuyển tối thiểu đối với từng môn (còn gọi là điểm sàn hay tiêu chí đảm bảo chất lượng đầu vào). Các trường ĐH, CĐ sử dụng kết quả kỳ thi dựa trên ngưỡng điểm này để xây dựng điểm xét tuyển",
trường ĐHSPKT Tp. HCM có chính sách ưu tiên xét tuyển thẳng như thề nào?,"Trường dành 20% chỉ tiêu ngành Sư phạm tiếng Anh để xét tuyển thẳng các thí sinh tốt nghiệp THPT 2018, đạt điểm IELTS quốc tế từ 6.0 trở lên hoặc tương đương, có ĐTBHB của môn Toán và môn Văn đạt từ 6.0 trở lên.Trường sử dụng tối đa 10% chỉ tiêu để xét tuyển thẳng hai loại đối tượng: (1) Thí sinh tốt nghiệp THPT 2018, học lớp chuyên (Toán học, Vật lý, Hóa học, tiếng Anh, Sinh học) của trường chuyên có ĐTBHB từng môn đăng ký theo khối xét tuyển (có môn chuyên) từ 8.0 trở lên và có thư giới thiệu của Hiệu trưởng trường chuyên đã học. (2) Thí sinh tốt nghiệp THPT 2018 loại giỏi trở lên ",
"Với SV nữ, Nhà trường có ưu ái gì không?","Nhà trường cấp học bổng bằng 50% học phí toàn khóa cho các thí sinh nữ trúng tuyển nhập học vào các ngành CN Kỹ thuật Ô tô, CN Chế tạo máy, CN Kỹ thuật Cơ khí, CN Kỹ thuật Cơ điện tử, CN Kỹ thuật Nhiệt điện lạnh, CN kỹ thuật công trình xây dựng.",
"Trong mỗi đợt xét, thí sinh được quyền nộp mấy giấy chứng nhận điểm?","Với xét tuyển nguyện vọng 1, thí sinh chỉ được nộp 01 giấy chứng nhận kết quả thi để xét NV 1 vào 01 trường duy nhất.Với xét tuyển nguyện vọng bổ sung, thí sinh có thể nộp 03 giấy chứng nhận kết quả thi vào 03 trường khác khác hoặc vào 03 ngành khác nhau của một trường",
"Mỗi phiếu điểm, thí sinh được quyền ghi mấy nguyên vọng?","Vô số Thí sinh phải đánh số thứ tự ưu tiên từ 1 đến 4. Tức là khi trúng tuyển ngành ưu tiên 1 sẽ không xét tới ngành ưu tiên 2, còn ngược lại nếu ưu tiên 1 không trúng thì được x",
"Trong thời gian nhận hồ sơ xét tuyển, các trường ĐH, CĐ công khai thông tin thế nào?",Các trường cập nhật 3 ngày một lần thông tin đăng ký xét tuyển của thí sinh trên trang thông tin điện tử của trường (danh sách thí sinh đăng ký và điểm thi xếp theo thứ tự từ cao xuống thấp); công bố công khai danh sách thí sinh trúng tuyển và đăng kí nhập học của mỗi đợt xét tuyển,
Xin cho biết về Chương trình đào tạo chất lượng cao của Trường?,"Chương trình cung cấp cho người học các dịch vụ đào tạo tốt nhất nhằm tạo ra môi trường học tập, nghiên cứu khoa học, sinh hoạt, tu dưỡng, rèn luyện theo chuẩn mực quốc tế với chi phí hợp lý. Các Kỹ sư tốt nghiệp chương trình này có kiến thức lý thuyết giỏi, kỹ năng nghề nghiệp vững vàng, tiềm năng nghiên cứu khoa học tốt, khả năng giao tiếp linh hoạt; Về đội ngũ giảng viên: Giảng viên giỏi, có uy tín được tuyển chọn từ đội ngũ giảng viên của trường và mời từ các trường bạn; Có phương pháp dạy học tiên tiến nhằm phát huy tiềm năng sáng tạo và khả  năng hợp tác trong công việc;Về cơ sở vật chất:  Lớp học có sĩ số tối ưu cho việc dạy và học (khoảng 30 SV/lớp); Phòng học tiện nghi: trang bị quạt, máy lạnh, máy tính, projector,…Phòng tự học truy cập Internet miễn phí; Được tạo điều kiện tốt nhất trong việc sử dụng thư viện, phòng thí nghiệm, xưởng thực tập; Được cung cấp giáo trình, tài liệu học tập miễn phí.Về chính sách ưu đãi và quyền lợi khác: Được học song song hai chương trình đào tạo, nếu SV có khả năng; Được hưởng các chế độ như các SV hệ chính quy theo qui định của Nhà nước, của Nhà trường (miễn giảm học phí, cấp học bổng,…); Ưu tiên xét cấp kinh phí nghiên cứu khoa học, dự hội thảo khoa học trong & ngoài trường; Nhà trường chủ động tạo cơ hội cho SV sớm tiếp xúc với các doanh nghiệp, cơ sở nghiên cứu và nhận nguồn tài trợ trực tiếp từ các đơn vị này",
"Khi cần tư vấn có nhất thiết phải nêu danh tính, thông tin mà sinh viên trao đổi với các tư vấn viên có được giữ kín không không?","Không cần phải nêu danh tính. Tất cả các thông tin của SV đều được giữ kín. Sinh viên có thể đến trực tiếp TTDVSV hoặc gửi qua email, điện thoại để được tư vấn",
"Khi sinh viên có vấn đề bế tắc trong cuộc sống, rối loạn và hoang mang các vấn đề về sức khỏe, tâm lý thì có thể được tham vấn ở đâu? ","Bạn có thể gọi vào số điện thoại cho cô Hoàng Thị Thu Hiền, số điện thoại  0918427367 để trao đổi trực tiếp.",
"Em là SV năm nhất, em rất thắc mắc tại sao thang máy trường mình lại không cho sử dụng để đi lại giữa tầng 2,3,4. Em thấy bất công","Chào bạn, theo quy định Nhà nước, những tòa nhà có 5 tầng trở lên mới được dùng thang máy. Chúng ta cùng cố gắng đi bộ để vừa tập thể dục vừa góp phần  tiết kiệm điện nhé.",
"Là sinh viên năm nhất, em cần làm gì để học tốt?","Là sinh viên năm nhất, bạn nên tìm hiểu làm quen với môi trường học tập đại học: tham gia đầy đủ môn học “nhập môn ngành”; tham gia các đội nhóm, các lớp kĩ năng để học hỏi kinh nghiệm học tập từ các anh chị; đến thư viện đọc sách; chuẩn bị bài trước khi đến lớp; tăng cường tự học; học nhóm; tập kỹ năng đọc sách để tăng khả năng tổng hợp và phân tích; lập kế hoạch học tập và cố gắng theo sát kế hoạch đã đề ra. Nhớ cân bằng giữa việc học và giải trí  (tham gia các CLB, các hoạt động của trường …) để việc học hiệu quả hơn. Bạn đừng bỏ qua những giờ lên lớp của thầy cô nhé vì nếu cúp học bạn sẽ mất căn bản hoặc mất nhiều thời gian để tự đọc sách.",
Một số SV muốn đăng kí vào ở ký túc xá của trường thì làm thế nào?,"Chào bạn, nếu bạn muốn ở ký túc xá thì liên hệ Ban quản lý ký túc xá, lấy mẫu đơn và hoàn tất các thủ tục theo chỉ dẫn, sau hai ngày thì các bạn có thể vào ở KTX  bạn nhé. Hiện nay KTX đang còn chỗ nên bạn đến đăng ký nhé.",
Nên học anh văn giao tiếp năm thứ mấy của Đại học?,"Bạn nên học anh văn giao tiếp vào ngay năm thứ nhất nhé. Khi học AV thì nên học cả 4 kỹ năng (nghe, nói, đọc, viết) đồng thời. Đặc biệt nếu ở trường phổ thông mà bạn chưa bắt đầu học AVGT, chỉ chú trọng ngữ pháp thì bạn nên dành thời gian cho việc học AV giao tiếp ngay. Các công ty hiện nay đòi hỏi trình độ anh văn rất cao khi phỏng vấn (không phải bằng cấp) vì thế bạn nên bắt đầu học ngay nhé, cơ hội sẽ không chờ bạn nếu không kịp thời nắm bắt nó",
Nếu SV ở KTX đã được 1 học kì nhưng lại muốn chuyển ra ngoài thì có được lấy tiền còn dư không?,"Chào bạn, Theo quy định thì BQL KTX thu tiền cả năm học vì thế các bạn không được rút tiền lại khi giữa năm học chuyển ra ngoài ở, trường hợp đặc biệt có quyết định nghỉ học của Hiệu trưởng thì làm đơn gửi BQL KTX đề xuất phòng Kế hoạch tài chính xin rút lại tiền bạn nhé",
"Là sinh viên năm nhất, em nên ở ký túc xá hay phòng trọ?","Chào bạn, nếu là sinh viên năm nhất ở ký túc xá tốt hơn ở phòng trọ, vì phí ở ký túc xá thấp hơn; ở KTX có môi trường sinh hoạt, sống nề nếp, bạn sẽ có cơ hội tốt để bạn giao lưu, học hỏi từ các anh chị sinh viên đi trước và đặc biệt được rèn luyện về lối sống tập thể và đồng thời bạn tránh được những bất trắc có thể xảy ra khi sống ngoài môi trường xã hội xa lạ. ",
Các phương pháp để tập trung học cao độ?,"Bạn nên kiếm không gian học tập tốt như những nơi có ánh sáng vừa đủ, bàn ghế thích hợp với tầm vóc của bạn, môi trường thoáng đảng. Và phải nhớ rằng bạn phải tách khỏi TV, điện thoại. Nếu thích bạn có thể mở một tí âm nhạc với một âm lượng vừa phải.Trước khi bắt đầu học, bạn phải hình dung, khái quát hóa những gì bạn sẽ học, cần chú trọng và đâu.Nên nhớ việc học một môn học trong thời gian quá lâu sẽ khiến não bộ bắt đàu “ngán ngẫm”.  Bạn nên xen kẽ những môn học có phong cách khác nhau, ví dụ bạn đang học Anh thì hãy chuyển sang môn Toán,…Ở lớp thay vì ngồi một chỗ lắng nghe thầy cô, bạn hãy hăng say tham gia say dựng bài, hỏi những gì ban chưa thực sự hiểu.Bạn cần có thời gian nghĩ ngơi: Hãy rời khỏi chỗ ngồi, tập vài động tác để giản gân cốt hay đi 2-3 vòng để lấy lại sinh lực.Ghi nhận mỗi ngày: bạn hãy ghi nhận những tiến bộ cũng như điểm bạn chưa làm được vào sổ tay.",
"Vì mới lên Tp.HCM , xa gia đình nên nhiều lúc thấy nhớ nhà và buồn. Em phải làm gì vào những lúc đó?","Bạn có thể gọi điện, trò chuyện với người thân, bạn bè để chia sẻ những  nỗi niềm của mình. Bạn biết không, trường mình có rất nhiều CLB, bạn có thể đến đó sinh hoạt, rèn luyện kỹ năng; TPHCM cũng có rất nhiều danh lam thắng cảnh, bạn có thể đến thăm; Thư viện, Phòng khám phá của TTDVSV có rất nhiều sách, bạn có thể tìm những cuốn sách hay để đọc. Khi mới xa vòng tay gia đình, chắc chắn bạn sẽ có cảm giác nhớ nhà và buồn, nếu tham gia các hoạt động trên bạn sẽ thấy đi một ngày đàng, học một sàng khôn và quyết định đi xa học tập của mình là đúng. Chúc bạn nhanh chóng thích nghi với môi trường mới nhé",
"Các anh chị khóa trên có nói, em chỉ cần học tốt các môn chuyên ngành còn các muôn đại cương chỉ cần học đủ qua môn  là được. Như vậy có đúng không?","Các môn đại cương được xây dựng trong chương trình đào tạo có mục đích cung cấp kiến thức cơ bản, giúp cho SV có công cụ để nghiên cứu, học tập các môn chuyên ngành, nó ví như móng của tòa nhà, do đó việc học tốt môn đại cương giúp em có điều kiện đạt kết quả tốt hơn trong quá trình học chuyên ngành.",
Cách học ĐH như thế nào là hiệu quả?,"Đọc sách trước khi đến lớp.Tập trung nghe giảng trên lớp vì đó là những lúc chúng ta giải quyết những thắc mắc, những vấn đề chưa hiểu khi bạn đọc sách trước ở nhà.Xem lại những gì đã học ngay trong ngày. Vì thông tin kiến thức sẽ mất đi 80% sau 24h nếu bạn không xem lại bài.Sử dụng các thủ thuật như: lập sơ đồ tư duy, phương  pháp đọc nhanh hiệu quả, những kỹ thuật nhớ siêu đẳng, … để ghi nhớ những công thức, những điều cần nhớ và áp dụng nó vào những trường hợp tương tự để biết cách sử dụng và sáng tạo trong điều kiện mới.",
Kỹ năng mềm có cần thiết không? Nếu muốn học thì em phải học ở đâu cho tốt?,"Đối với sinh viên thì kỹ năng mềm là một trong những kỹ năng quan trọng. Nếu có điều kiện bạn có thể đi học các lớp bổ trợ kỹ năng mềm như: kỹ năng giao tiếp, kỹ năng thuyết trình, kỹ năng đàm phán,..Nếu không có điều kiện đi học bạn có thể tham gia các câu lạc bộ, các group để nâng cao kỹ năng mềm của mình. Đó là môi trường để bạn rèn luyện các kỹ năng cần thiết cũng là nơi để bạn sử dụng các kỹ năng bạn đã được học.",
" Làm thế nào để có thể cân bằng thời gian để em vừa có thể tham gia các câu lạc bộ, phong trào đoàn thể nhưng không ảnh hưởng nhiều đến việc học?","Muốn vừa tham gia các hoạt động, vừa học tập tốt trước hết bạn phải quản lý thời gian biểu của mình một cách hợp lý. Bạn nên đưa ra thời khóa biểu, sắp xếp cụ thể thời gian học tập, sinh hoạt ngoại khóa và thời gian nghỉ ngơi của mình. Nhưng điều quan trọng nhất là bạn phải thực hiện đúng kế hoạch mà bạn đã đưa ra thì kết quả bạn nhận được mới thực sự tốt. Nên chọn một vài hình thức sinh hoạt hoặc CLB đúng sở thích hoặc cần cho chuyên môn của mình để tham gia. Xác định việc học là chính và nghỉ ngơi hợp lý (tham gia các CLB) cũng là góp phần học tập tốt",
Muốn học tập tốt tại trường đại hoc thì em cần chuẩn bị những  gì?,"Muốn học tập tốt tại trường đại học thì điều cần thiết nhất là bạn phải sắp xếp được thời gian của mình một cách hợp lý. Thứ hai, bạn nên đi học đầy đủ, làm tất cả các bài tập được giao cho, chuẩn bị bài trước khi đến lớp,… Ngoài ra, bạn còn phải biết tự nâng cao các kỹ năng cho bản thân như; kỹ năng giao tiếp, kỹ năng thuyết trình, kỹ năng đàm phán,… bằng việc tham gia các khóa huấn luyện, các câu lạc bộ",
Khi sinh viên bị quên mật khẩu truy cập tài khoản online thì phục hồi như thế nào? ,Sinh viên phải liên hệ Trung Tâm Thông Tin để phục hồi mật khẩu,
"Khi có việc bận đột xuất, sinh viên gửi đơn xin phép ở đâu?","Sinh viên không cần thiết nộp đơn xin phép nghỉ học tại Văn Phòng Khoa hay phòng Công tác Học sinh - sinh viên. Tuy nhiên, sinh viên cần trình bày lý do chính đáng trước giảng viên phục trách môn học để không bị xem như vắng buổi học ngày hôm đó mà không có lý do. Giảng viên có thể yêu cầu bạn đi học bù một số buổi tại những thời điểm khác nhau để hoàn thiện kiến thức bị mất.",
Có cần thiết phải kích hoạt mail sinh viên không?,"Có. Mỗi SV vào học tại trường Đại học Sư phạm Kỹ thuật TP.HCM sẽ được cấp 1 tài khoản E-Mail. Việc kích hoạt mail SV rất có ích cho bạn, bởi các thông tin từ trường sẽ được thông báo cho bạn qua địa chỉ mail này.",
"Làm sao để xem thời khóa biểu, xem lịch thi, xem điểm thi, các học phần tích lũy được cũng như học phí của mình?",SV đăng nhập vào trang online.hcmute.edu.vn như sau: Username: MSSV; Password: MSSV (khuyến khích SV thay đổi password); SV vào chọn các mục mình muốn xem để xem nội dung,
Làm sao để trả nợ các môn theo chương trình đào tạo cũ mà hiện nay không còn mở nữa?,"Để trả nợ các môn học cũ không còn được mở nữa, SV sẽ đăng ký học các môn học tương đương (xem trên website của khoa) hoặc các môn học thay thế (liên hệ trực tiếp với bộ môn quản môn học để được hướng dẫn cụ thể). SV làm đơn xin học môn thay thế để trình Bộ môn và Khoa quản môn học phê duyệt, sau đó nộp cho Phòng Đào tạo",
Đăng ký môn học như thế nào?,"SV không nợ học phí các học kỳ trước đó (SV không bị khóa tên).Vào trang online.hcmute.edu.vn. Mỗi SV có một Thời khóa biểu dự kiến (SV có thể đăng ký thêm môn học; chuyển nhóm; đổi nhóm; hủy môn học đối với các môn lý thuyết. Các môn học thực tập, thực tập sư phạm, thí nghiệm không được phép chuyển nhóm, không được hủy môn học, không được đăng ký học vượt) -> In và lưu Thời khóa biểu để đi học và khiếu nại sau này",
"Làm thế nào để có thể tốt nghiệp sớm trước thời hạn nếu các môn học thực tập, thí nghiệm không được phép đăng ký học vượt?","Điều kiện để SV có thể xin học vượt các môn học thực tập, thí nghiệm như sau:Không nợ môn học (theo Chương trình đào tạo) tính đến thời điểm xin đăng ký học vượt.Có điểm trung bình chung tích lũy > 7,5 SV đủ điều kiện trên làm đơn gởi Bộ môn và Khoa phê duyệt (kèm theo bảng điểm). Khoa sẽ tổng hợp danh sách và can thiệp với Phòng Đào tạo đăng ký bằng tay cho SV",
Có được hủy môn học thực tập và thí nghiệm không?,"Không được vì sẽ ảnh hưởng đến kế hoạch học tập của các SV khác trong nhóm, ngoại trừ các trường hợp sau:Sinh viên đã hoàn tất môn học (nhưng do có sự nhầm lẫn trong hệ thống): SV liên hệ với phòng Đào tạo để được huỷ.Có lý do rất chính đáng. SV làm đơn có sự cho phép hủy môn học của Bộ môn quản ngành, Bộ môn quản môn học và trình khoa xem xét cụ thể từng trường hợp.",
SV có quyền chọn môn trong danh sách các môn tự chọn hay là Bộ môn chọn sẵn?.,SV được quyền chọn môn học nếu như môn học đó có mở lớp trong học kỳ. SV được chọn môn học tự chọn khác để học nếu rớt môn tự chọn trước đó miễn sao tích lũy đủ số tín chỉ của các môn tự chọn,
Số tín chỉ tối đa trong một học kỳ được phép đăng ký?,từ 15 tín chỉ đến 35 tín chỉ.,
Có được phép đăng ký môn học (cùng mã môn học) nhưng dành cho lớp Chất lượng cao hoặc dành cho hệ Cao đẳng (trong mã môn học có ký hiệu VĐ do TT Việt Đức quản lý)?,SV không được đăng ký.,
Điều kiện nào để được đăng ký Thực tập tốt nghiệp?,SV đã hoàn tất năm 3 trở đi có thể đăng ký Thực tập tốt nghiệp trong học kỳ chính thức hoặc học kỳ hè (liên hệ đăng ký với Bộ môn quản ngành vào tuần đầu mỗi học kỳ).,
Điều kiện nào để được đăng ký học trong học kỳ 3 (học kỳ hè)?,"HK hè thường dùng để tổ chức các lớp học lại hoặc các lớp thực hành học mới và các lớp thực hành trễ tiến độ (để giảm tải về trang thiết bị thực hành cho học kỳ tiếp), không khuyến khích mở các lớp lý thuyết học mới. Để tổ chức được lớp trong HK hè thì cũng phải đảm bảo về số lượng SV để mở lớp theo quy định (60 sinh viên cho các môn học đại cương và sư phạm và 30 sinh viên cho các môn học chuyên ngành) và phải có GV đồng ý giảng dạy. Với các môn học đại cương, phòng Đào tạo thống kê số SV không đạt để dự kiến mở lớp.",
HK hè học trong bao lâu và được đăng ký tối đa bao nhiêu tín chỉ?,Hk hè học trong 5 tuần và thêm 1 tuần thi kết thúc môn. Theo qui định của Phòng Đào tạo: Số tín chỉ sinh viên được đăng ký tối đa là 10 TC lý thuyết hoặc 05 TC thực hành.,
 Làm sao để biết đăng ký môn học nào để học vượt cho phù hợp?,"Có một số môn học mà nếu chưa học trước một số môn khác thì không thể học nó được. Do đó khi đăng ký học vượt, chúng ta cần tham khảo Kế hoạch đào tạo (cách bố trí các môn học trong các học kỳ) trong chương trình đào tạo của ngành (xem trên web của khoa). Trong mỗi môn học đều có quy định môn học tiên quyết, môn học trước. Vậy nếu chưa học một trong các môn này thì không nên đăng ký học môn đó. Nếu cần, sinh viên liên hệ với nhóm tư vấn để được tư vấn trực tiếp.",
 SV có thể đăng ký học những môn ngoài chương trình đào tạo không? ,SV có thể đăng ký học những môn ngoài chương trình đào tạo nhưng không được tính vào bảng điểm hay số tín chỉ tích lũy,
Sinh viên có nên đăng ký học vượt hay không?,"Việc đăng ký học vượt để hoàn thành chương trình học hoàn toàn tùy thuộc vào trình độ, năng lực và sự quyết tâm của các bạn sinh viên. Tuy nhiên các bạn sinh viên cần lưu ý, hiện tại chương trình học cho từng học kỳ của các bạn đã được bộ môn sắp xếp cho phù hợp với năng lực và khả năng của đa số các bạn sinh viên. Lượng kiến thức trong từng học kỳ cũng đã được các thầy cô tính toán hợp lý. Vì vậy, các bạn sinh viên phải suy nghĩ và cân nhắc thật kỹ trước khi quyết định học vượt, nhằm tránh tình trạng các bạn khi đăng ký học vượt lại có điểm trung bình tích lũy thấp",
có cách nào xóa môn học sau khi hết thời gian ĐKMH?,"Thời gian đăng ký môn học 1 tuần và thời gian điều chỉnh 1 tuần. Trong thời gian này sinh viên có thể thay đổi thời khóa biểu của mình, nếu em xóa môn học thì không phải đóng học phí. Tuy nhiên, một số môn học như thực tập không được xóa. Sau thời gian trên sinh viên rút môn học phải đóng học phí, điểm nhập là RT (không tính điểm). Những trường hợp đặc biệt xin xóa môn học sau thời gian điều chỉnh, sinh viên làm đơn xin ý kiến của Khoa và Phòng Đào tạo",
Em đăng ký môn học theo lịch cứng do Phòng Đào tạo sắp xếp nhưng khi xem chương trình đào tạo thì em thấy không khớp mã môn học. Vậy em có được công nhận hoàn thành các môn học đó không?.,"Về việc học môn cùng tên khác mã thì sẽ xem là môn học ngoài chương trình và tính vào tích lũy nếu đạt nhưng môn học đó vẫn chưa hoàn thành, trừ khi 2 môn học đó là tương đương trong chương trình thì em học mã môn học nào cũng được và lúc đó sẽ xem là đạt. Em có thể liên hệ thầy Thái, Phòng Đào tạo, A1-202 để kiểm tra giữa môn học xếp lịch cứng và môn học trong chương trình đào tạo của em",
Học kỳ trước em có đăng ký và rút môn Anh văn 2. Học kỳ này em đăng ký 2 môn Anh văn 2 và Anh văn 3 có được không và có tính vào kết quả học tập không? ,"Hiện tại Phòng Đào tạo chỉ kiểm tra điều kiện môn học trước, môn học tiên quyết cũng chỉ kiểm tra tính chất môn học trước. Nếu Anh văn 2 là môn học trước của môn Anh văn 3 thì em đã đăng ký Anh văn 2, bây giờ em được phép đăng ký Anh văn 3 (môn học trước chỉ cần đăng ký không bắt buộc đạt). Riêng môn Anh văn 2 em có quyền đăng ký học lại trong học kỳ này. Như vậy 2 môn trên có thể đăng ký cùng 1 lúc và kết quả học sẽ tính vào kết quả học kỳ, năm học, tích lũy",
"Em bị rớt học phần quân sự, học kỳ hè này em có thể đăng ký học lại chung với khóa sau được không?","Học kỳ hè (học kỳ 3), phòng Đào tạo (PĐT) sẽ tổ chức các lớp học giáo dục quốc phòng (GDQP) 1,2,3. SV học đúng tiến độ sẽ được PĐT xếp lịch học cứng, những trường hợp xin xóa môn học thì làm đơn nộp PĐT để được xem xét. Các SV khóa trước nếu rớt học phần nào thì đăng ký học lại học phần đó theo thông báo ĐKMH qua mạng của PĐT. Em xem thông báo và đăng ký nhé",
"Sau thời gian đăng ký môn học, em có được chuyển nhóm môn học không?","SV điều chỉnh đăng ký môn học trong thời gian được phép điều chỉnh (theo thông báo của Phòng Đào tạo). Hết thời gian trên SV phải học theo thời khóa biểu của mình và không được chuyển nhóm. Trong trường hợp đặc biệt, SV làm đơn nộp tại PĐT để được xem xét.",
Khi đăng ký môn học qua mạng không được thì có thể đăng ký tay tại phòng Đào tạo không?,"những trường hợp SV không đăng ký được môn học do không còn chỗ hoặc không mở lớp, SV liên hệ Khoa để được giải quyết. Phòng Đào tạo sẽ tiếp nhận các đề xuất từ Khoa. ",
Quy tắc làm tròn điểm như thế nào?,"Điểm học phần làm tròn 01 chữ số thập phân (Ví dụ: điểm học phần là 6,75 được làm tròn là 6,8).Điểm trung bình chung học kỳ, năm học, tích lũy làm tròn hai chữ số thập phân (Ví dụ: 6,495 làm tròn thành 6,50 ; còn 6,494 thì làm tròn thành 6,49).",
Khi học cải thiện một môn học thì sẽ được lấy điểm cao hơn hay là điểm của lần học sau cùng?,Theo qui định sẽ lấy điểm cao nhất trong các lần thi. ,
Làm sao để xin điểm I? Muốn trả điểm I thì phải làm thế nào?,"Muốn xin điểm I, sinh viên làm đơn gởi Văn phòng khoa (kèm theo các minh chứng cần thiết) trước ngày thi 7 ngày cho đến tối đa sau ngày thi 7 ngày. Sau khi có xác nhận của Khoa, SV nộp đơn tại phòng Đào tạo và nhận lại đơn xin điểm I theo giấy hẹn của Phòng Đào tạo.Muốn trả điểm I, sinh viên phôtô đơn xin điểm I (kèm theo bảng gốc) và nộp cho Văn phòng khoa trước ngày thi 1 tuần",
"Em đã làm đơn thay thế môn học và thi đạt, tại sao trong bảng điểm môn học đó vẫn chưa đạt?",Tất cả các môn học Sinh viên học đều được in trong bảng điểm. Với những môn học tương đương thì điểm lấy cao nhất trong các lần thi và in 1 dòng. Riêng các môn học làm đơn thay thế để xét tốt nghiệp sau này thì trong bảng điểm in toàn bộ các môn đã từng học,
Điểm giảng viên công bố trên lớp và điểm trong bảng điểm (hoặc điểm trên mạng) không khớp nhau?,Sinh viên liên hệ thư ký Khoa để xem lại bảng điểm gốc của Giảng viên nộp. Phòng Đào tạo và Khoa sẽ phối hợp để giải quyết khiếu nại điểm cho sinh viên nếu có sự không khớp nhau giữa điểm trong bảng điểm gốc của Giảng viên và điểm trên mạng.,
Tại sao SV tốt nghiệp loại giỏi lại bị hạ bậc tốt nghiệp thành loại khá ?,"Hạng tốt nghiệp của sinh viên có kết quả học tập toàn khóa loại xuất sắc và giỏi sẽ bị giảm đi một mức, nếu rơi vào một trong các trường hợp sau: Có khối lượng các học phần phải học lại vượt quá 5% so với tổng số tín chỉ quy định cho toàn chương trình; Đã bị kỷ luật từ mức cảnh cáo trở lên trong thời gian học.",
"Trong mỗi học kỳ, hạn rút môn học như thế nào?","Sau khi kết thúc tuần điều chỉnh đăng ký môn học trên mạng, Sinh viên muốn rút bớt học phần đã đăng ký thì phải làm đơn và nộp tại Phòng Đào tạo, những học phần này không tính điểm (ký hiệu RT trong bảng điểm) nhưng phải đóng học phí. Thời hạn nộp đơn là trước ngày bắt đầu kỳ thi học kỳ 05 tuần",
